"업종별(1)",2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021
"업종별(1)",업체수 (개),합계 (toe),연료 (toe),연료 (toe),연료 (toe),연료 (toe),전력 (MWh),업체수 (개),합계 (toe),연료 (toe),연료 (toe),연료 (toe),연료 (toe),전력 (MWh)
"업종별(1)",소계,소계,소계,석탄류,석유류,가스류,소계,소계,소계,소계,석탄류,석유류,가스류,소계
"계",1320,2823334,838577,-,66285,772292,23078575,1367,2947581,849212,-,56542,792671,24399639
"상용",157,295480,54125,-,2763,51362,2806455,156,291682,55762,-,3052,52710,2743254
"공공",61,200895,48235,-,5085,43150,1775113,59,165784,35703,-,5076,30627,1512572
"아파트",438,570667,192663,-,18574,174089,4395391,466,599152,179650,-,15703,163947,4877934
"호텔",66,204495,109151,-,5833,103317,1108660,71,225400,120362,-,5136,115227,1221364
"병원",98,334423,158010,-,2017,155993,2051314,100,354358,166842,-,2037,164805,2180410
"학교",104,287358,96314,-,4924,91389,2221452,106,303235,101266,-,3781,97485,2348484
"IDC(전화국)",47,193569,2035,-,403,1632,2227131,50,231893,2034,-,377,1657,2672775
"연구소",69,258518,78075,-,15312,62764,2098170,72,264925,75165,-,10389,64776,2206508
"백화점",142,235989,44930,-,998,43932,2221614,145,248072,50178,-,1068,49111,2301089
"건물기타",138,241940,55038,-,10376,44663,2173276,142,263080,62249,-,9924,52325,2335250
